track_name,artist_name,genre_A Capella,genre_Alternative,genre_Anime,genre_Blues,genre_Children's Music,genre_Children’s Music,genre_Classical,genre_Comedy,genre_Country,genre_Dance,genre_Electronic,genre_Folk,genre_Hip-Hop,genre_Indie,genre_Jazz,genre_Movie,genre_Opera,genre_Pop,genre_R&B,genre_Rap,genre_Reggae,genre_Reggaeton,genre_Rock,genre_Ska,genre_Soul,genre_Soundtrack,genre_World,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence,Cluster
VANQUISH,南那城メィジ(CV.木村昴),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5463245694176992,-1.0187254439173565,0.590683770460461,-1.1958511581490634,1.3096822287354526,-0.48981852046524155,-0.742460693117122,0.8965845918989185,1.3688762743955096,-0.031075245435379213,0.5607788189055454,1.3538278699713076,10
Mañana,Jimmy Buffett,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007009513932967822,0.14499518861350355,0.7792534049544997,0.17343546733131449,-0.35663652177581584,-0.4833449107955858,-0.5987188780353982,-0.6908941003985118,-0.7305262124157975,-0.47469818834427013,0.11804375456789483,1.8883097873932733,6
I Paggliacci: Vesti la giubba,Ruggero Leoncavallo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.8212022578971154,1.5966510581869393,-1.3973789474909726,-0.23723196881412661,-1.351113771511471,-0.48981852046524155,-0.5044040730519515,-0.5840285425574435,-0.7305262124157975,-0.45744917962849313,0.7392321189609398,-1.4235555037976575,7
Sunset,Aun J-Classic Orchestra,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3813979563300494,1.5318198251768638,-2.2432484507928017,0.7958140195454289,-1.5712652237430278,1.9708137264192458,-0.787348488002292,-0.5630222082548311,-0.7305262124157975,-0.45691014810612507,-1.7403755143985444,-0.9033008028826071,1
Macusa,Buena Vista Social Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.32284371224233177,1.0892761911515638,0.44521576670791707,0.07939301962567072,0.23169925573955236,-0.48981852046524155,0.38326467973343087,-0.09254700665187478,1.3688762743955096,-0.4461295176587644,-0.435342712179874,1.4499577112342512,10
Wack,Barely Alive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007009513932967822,-1.0332420026130908,0.8492935549094283,-0.31323945448770907,1.3248650875100432,-0.4800750773399942,-0.2471818776425509,1.6914909566200012,-0.7305262124157975,0.15758578739343218,1.0436124756930745,0.10029473990252373,3
Hillbilly,Upchurch,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.1474767776805808,-0.8553789242245786,1.2533713431109388,-0.7084951958057523,0.6871850189772568,-0.48981852046524155,-0.5397090802650063,0.7130292421594238,-0.7305262124157975,-0.08497839767218254,0.7240859193914942,-0.9840498695434797,0
"That's How You Know - From ""Enchanted""",Amy Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.5463245694176992,0.26902015611103974,-0.3413889943243575,-0.05573887304532675,0.4632378520520519,-0.48981852046524155,0.9431012226833024,0.7011923394968405,-0.7305262124157975,0.7181785706561863,1.8251628462113443,0.31947077798203455,3
Perfecta,Star Cast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.007009513932967822,-0.8965326634396702,0.6122345858312077,-0.6632354286176003,0.3493664112426257,-0.4897969858045037,-0.5296219353469906,0.615999983714023,-0.7305262124157975,0.5618594291694569,2.14640467725049,0.334851552584106,3
Lone Ranger,Matt Duncan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.28188720241238413,0.4212326162216526,0.8331304433813678,-0.42625014198091943,-0.5388308270708978,-0.44556016864208436,-0.6032580932485053,-0.0757085958220027,1.3688762743955096,-0.5086571742534562,-0.766843827970119,0.5847891398677589,12
"Lord, I Need You",Maranatha! Music,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.711251182505349,-1.0387960661575713,-0.29828736358286295,0.06533499793914087,-0.3604322364694634,-0.4896566802235002,-0.26231259501957443,-0.3266175888809858,-0.7305262124157975,-0.5167426470889768,1.0460397512651016,-0.6341372473463651,8
El viento,Manu Chao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.37781924993821503,1.4726260906894029,0.7092132549995704,-0.7254539456512851,-0.7855522821579878,-0.48945850849891887,1.5987656423543233,-0.44498661550681795,-0.7305262124157975,-0.31083260554438824,0.3518389376654958,0.4309813938470496,4
Love Story In Dub,Beres Hammond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.8316425793712168,-0.9813770162050302,0.6714993281007633,0.24643292204569975,-0.3224750895329882,-0.4897461877857694,0.7110968895689413,0.1470252345612537,-0.7305262124157975,0.2600017766433584,1.3051756913346606,0.5078852668574045,3
TRIBUTO CHACALON 1,Josimar y Su Yambú,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.06198505162885108,-0.5540546281907917,0.31052317064074664,0.17573082613539504,0.4632378520520519,-0.481858622861226,-0.8579585024284019,-0.18940954815836566,-0.7305262124157975,-0.4159437524061546,-0.5286795488428699,1.0692835398329945,6
Down the Line,Set Mo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2678681745464485,-0.7874470670270645,0.7577025895837518,0.25961652133067514,0.5847007222487732,-0.4884081983586379,-0.41361976878981005,0.5559818857065587,-0.7305262124157975,-0.454754022016653,-0.11902015963336905,-0.9417527393877845,0
"Rebuild, Renew",Inon Zur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.22691166471650087,1.4134323562019426,-2.5600454367427865,1.1428924497009028,-1.8449362531550155,1.7131904844635546,-0.6062842367239101,-2.3420586633594183,-0.7305262124157975,-0.4418172654798202,2.0146197955265928,-1.5988963342612663,16
Can't Tell Me Nothing,Kanye West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.4773300038558803,-1.0047726350738837,0.21354450147238396,0.30670080449130144,0.1633763912538966,-0.48981852046524155,3.066445227925608,0.5799891249095445,1.3688762743955096,-0.3620406001693513,-1.2200647227789243,-1.3608788472942184,14
17,Kings of Leon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7626480138093978,-1.003081385517099,-0.7777930055819893,-0.41828785338214924,1.157853640989551,-0.48969829628566225,0.13108605678303814,0.9747748362475316,-0.7305262124157975,-0.3970776491232735,0.111603383383451,0.5924795271687945,0
Que Mucho Jode,"Galante ""El Emperador""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9965691924588665,0.6354575600810333,0.7253763665276315,0.2750870715120238,0.4442592785838142,-0.48981852046524155,0.08569390465196729,0.42144131600649287,1.3688762743955096,0.3300758745512027,0.232643525241844,0.334851552584106,10
